business_id,name,address,city,state,monday,tuesday,wednesday,thursday,friday,saturday,sunday
FYWN1wneV18bWNgQjJ2GNg,"""Dental by Design""","""4855 E Warner Rd, Ste B9""",Ahwatukee,AZ,7:30-17:0,7:30-17:0,7:30-17:0,7:30-17:0,7:30-17:0,None,None
He-G7vWjzVUysIKrfNbPUQ,"""Stephen Szabo Salon""","""3101 Washington Rd""",McMurray,PA,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-16:0,8:0-16:0,None
KQPW8lFf1y5BT2MxiSZ3QA,"""Western Motor Vehicle""","""6025 N 27th Ave, Ste 1""",Phoenix,AZ,None,None,None,None,None,None,None
8DShNS-LuFqpEWIp0HxijA,"""Sports Authority""","""5000 Arizona Mills Cr, Ste 435""",Tempe,AZ,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-19:0
PfOCPjBrlQAnz__NXj9h_w,"""Brick House Tavern + Tap""","""581 Howe Ave""",Cuyahoga Falls,OH,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-1:0,11:0-2:0,11:0-0:0
o9eMRCWt5PkpLDE0gOPtcQ,"""Messina""","""Richterstr. 11""",Stuttgart,BW,18:0-0:0,18:0-0:0,18:0-0:0,18:0-0:0,18:0-0:0,18:0-0:0,None
kCoE3jvEtg6UVz5SOD3GVw,"""BDJ Realty""","""2620 Regatta Dr, Ste 102""",Las Vegas,NV,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,None,None
OD2hnuuTJI9uotcKycxg1A,"""Soccer Zone""","""7240 W Lake Mead Blvd, Ste 4""",Las Vegas,NV,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,10:0-18:0,11:0-16:0
EsMcGiZaQuG1OOvL9iUFug,"""Any Given Sundae""","""2612 Brandt School Rd""",Wexford,PA,None,None,None,None,None,None,None
TGWhGNusxyMaA4kQVBNeew,"""Detailing Gone Mobile""","""""",Henderson,NV,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0
XOSRcvtaKc_Q5H1SAzN20A,"""East Coast Coffee""","""737 West Pike St""",Houston,PA,None,None,None,None,None,None,None
Y0eMNa5C-YU1RQOZf9XvVA,"""CubeSmart Self Storage""","""2414 South Gilbert Road""",Chandler,AZ,9:30-18:0,9:30-18:0,9:30-18:0,9:30-18:0,9:30-18:0,8:30-17:30,11:0-15:0
xcgFnd-MwkZeO5G2HQ0gAQ,"""T & T Bakery and Cafe""","""35 Main Street N""",Markham,ON,None,None,None,None,None,None,None
NmZtoE3v8RdSJEczYbMT9g,"""Complete Dental Care""","""107 Whitaker Str""",Homestead,PA,8:0-17:0,8:0-17:0,8:0-14:0,8:0-17:0,8:0-17:0,None,None
fNMVV_ZX7CJSDWQGdOM8Nw,"""Showmars Government Center""","""600 E 4th St""",Charlotte,NC,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,None,None
l09JfMeQ6ynYs5MCJtrcmQ,"""Alize Catering""","""2459 Yonge St""",Toronto,ON,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0
IQSlT5jGE6CCDhSG0zG3xg,"""T & Y Nail Spa""","""8411 W Thunderbird Rd, Unit 101""",Peoria,AZ,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-19:0,9:0-18:0,10:0-17:0
b2I2DXtZVnpUMCXp1JON7A,"""Meineke Car Care Center""","""2518 Ironwood Dr""",Sun Prairie,WI,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,7:30-16:0,None
0FMKDOU8TJT1x87OKYGDTg,"""Senior's Barber Shop""","""13375 W McDowell""",Goodyear,AZ,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-19:0,9:0-18:0,None
Gu-xs3NIQTj3Mj2xYoN2aw,"""Maxim Bakery & Restaurant""","""9665 Bayview Avenue, Unit 1-4""",Richmond Hill,ON,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,11:0-23:0,11:0-22:0
lHYiCS-y8AFjUitv6MGpxg,"""Starbucks""","""85 Hanna Avenue""",Toronto,ON,5:30-22:0,5:30-22:0,5:30-22:0,5:30-22:0,5:30-23:0,6:0-23:0,7:0-22:0
94KziT6DQ9XlBET3WzIv_w,"""Fye""","""1928 S Gilbert Rd""",Mesa,AZ,None,None,None,None,None,None,None
7YIy1tXOor9VCwvaSjuBHg,"""TSA Checkpoint T-4 A - Phoenix Sky Harbor International Airport""","""3400 E Sky Harbor Blvd""",Phoenix,AZ,None,None,None,None,None,None,None
PMH4oUa-bWELKogdtkWewg,"""GoodLife Fitness""","""100 City Centre Dr""",Mississauga,ON,0:0-23:59,0:0-23:59,0:0-23:59,0:0-23:59,0:0-23:59,0:0-23:59,0:0-23:59
VSGcuYDV3q-AAZ9ZPq4fBQ,"""Sportster's""","""1430 Danforth Avenue""",Toronto,ON,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0
1K4qrnfyzKzGgJPBEcJaNQ,"""Chula Taberna Mexicana""","""1058 Gerrard Street E""",Toronto,ON,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,10:30-2:0,10:30-2:0
VBHEsoXQb2AQ76J9l8h1uQ,"""Alfredo's Jewelry""","""5775 S Eastern, Ste 103""",Las Vegas,NV,10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,10:0-17:0,10:0-14:0,None
AtdXq_gu9NTE5rx4ct_dGg,"""DAVIDsTEA""","""10 Dundas Street E""",Toronto,ON,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,9:30-18:0,11:0-18:0
Dj0S-Oe4ytRJzMGUPgYUkw,"""Panera Bread""","""38295 Chestnut Ridge Rd""",Elyria,OH,6:30-21:0,6:30-21:0,6:30-21:0,6:30-21:0,6:30-22:0,7:0-22:0,7:0-20:0
gAy4LYpsScrj8POnCW6btQ,"""Toast Cafe""","""2429 Hwy 160 W""",Fort Mill,SC,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0
nbhBRhZtdaZmMMeb2i02pg,"""Sunnyside Grill""","""2777 Steeles Avenue W""",Toronto,ON,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0
zzMu-6SmqhpvHxVRM6tx9g,"""Good Brakes Automotive""","""12614 N Cave Creek Rd, Ste 104""",Phoenix,AZ,7:0-17:30,7:0-17:30,7:0-17:30,7:0-17:30,7:0-17:30,None,None
1_3nOM7s9WqnJWTNu2-i8Q,"""Le Bistro Balmoral""","""305 Rue Sainte-Catherine O""",Montreal,QC,11:30-14:0,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,16:30-21:30,None
FXHfcFVEfI1vVngW2gVOpw,"""Bampot House of Tea & Board Games""","""201 Harbord Street""",Toronto,ON,17:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,12:0-1:30,12:0-1:30,12:0-23:0
7gquCdaFoHZCcLYDttpHtw,"""Bubbly Nails""","""8439 Charlotte Hwy""",Fort Mill,SC,9:30-19:30,9:30-19:30,9:30-19:30,9:30-19:30,9:30-19:30,9:30-19:30,None
8y56fOiKhtCnqaiYB2S2Qg,"""Brewster's Pub""","""96 S Main St""",Munroe Falls,OH,None,None,None,None,None,None,None
ok38fApaT1TBEU-IH85BvA,"""Kool Pool Care & Repair""","""3245 W Florimond Rd""",Phoenix,AZ,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-12:0,None
lj0MiK5_fyv9df2twnsI7g,"""Pampered Hair Passionate about Hair""","""2470 Paseo Verde Pkwy""",Henderson,NV,None,9:0-15:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,None
S4a42azhoOmr0fpeNkggHg,"""By Design""","""11812 Carolina Place Pkwy, Ste C""",Pineville,NC,None,None,None,None,None,None,None
A_Ij4SwFmlRbVtRnsdSzWA,"""Ciao Baby Catering""","""15041 N Airport Dr""",Scottsdale,AZ,None,None,None,None,None,None,None
tRVx2c89coruPRwYhGTcTw,"""Yuzu""","""13603 Madison Ave""",Lakewood,OH,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,11:0-2:0,None
1Jp_hmPNUZArNqzpbm7B0g,"""Task Electric""","""7260 Cimarron Rd, Ste 130""",Las Vegas,NV,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,9:0-14:30,None
zjySmTfL9WiMDVgp8-Jp3w,"""TCBY""","""610 Jetton St, Ste 130""",Davidson,NC,None,None,None,None,None,None,None
5qpi5VQ_S2Itm8xvRm1k8Q,"""Olsen Firearms""","""28212 N Tatum Blvd, Ste D4""",Cave Creek,AZ,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-15:0,None
BnuzcebyB1AfxH0kjNWqSg,"""Carrabba's Italian Grill""","""245 Lancaster Ave""",Frazer,PA,16:0-22:0,16:0-22:0,16:0-22:0,16:0-22:0,11:0-23:0,11:0-23:0,11:0-21:0
rDMptJYWtnMhpQu_rRXHng,"""McDonald's""","""719 E Thunderbird Rd""",Phoenix,AZ,None,None,None,None,None,None,None
1WBkAuQg81kokZIPMpn9Zg,"""Charr An American Burger Bar""","""777 E Thunderbird Rd, Ste 107""",Phoenix,AZ,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-21:0
Z-4KHBDbdwyC7PwA_JE5Xw,"""William Jon Salon & Spa""","""2701 University Ave, Ste H""",Madison,WI,8:0-17:0,8:0-21:0,7:0-21:0,7:0-21:0,7:0-19:0,8:0-16:0,None
DPQnTnNw2PJj7DdENM98Cw,"""Star Nursery""","""5340 Boulder Hwy""",Las Vegas,NV,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,8:0-17:0
_F3AMoo_zdl-he384ISQbw,"""Rock of Ages""","""3700 W Flamingo Rd""",Las Vegas,NV,None,None,None,None,None,None,None
#NAME?,"""Restaurant Lucca""","""12 Rue Dante""",Montréal,QC,None,None,None,None,None,None,None
FmGZh8ZwEnSO860_2eiYHw,"""Enterprise Rent-A-Car""","""908 E 8th Ave""",Homestead,PA,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,9:0-12:0,8:0-18:0
Pd52CjgyEU3Rb8co6QfTPw,"""Flight Deck Bar & Grill""","""6730 S Las Vegas Blvd""",Las Vegas,NV,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30,8:30-22:30
4srfPk1s8nlm1YusyDUbjg,"""Subway""","""6889 S Eastern Ave, Ste 101""",Las Vegas,NV,None,None,None,None,None,None,None
n7V4cD-KqqE3OXk0irJTyA,"""GameWorks""","""6587 Las Vegas Blvd S, Ste 171""",Las Vegas,NV,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-1:0,11:0-1:0,11:0-0:0
c_XbaJqhm-5ycSBOkVUBmg,"""Don Taco""","""1855 Rue Saint Catherine Ouest, H3H 1M2""",Montreal,QC,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-21:0
ykJM7EuGziATZ5u2qIT08g,"""My Fitness World""","""1225 S Church St, Ste B""",Charlotte,NC,5:0-17:0,5:0-17:0,5:0-17:0,5:0-17:0,5:0-17:0,5:0-17:0,5:0-17:0
spDZkD6cp0JUUm6ghIWHzA,"""Kitchen M""","""8515 McCowan Road""",Markham,ON,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0
PEKloTo1IkW_gyxp15e8Dg,"""Amy's Lash & Beauty Spa""","""1219 Yonge Street""",Toronto,ON,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-10:15,None
Sx0C2RsDgrG3RxBBUoBqTw,"""Kool Radiator Service""","""3228 Meade Ave""",Las Vegas,NV,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
v2GJWvZqEAjUc22hZUYzYw,"""John Armond Actor's Studio""","""8125 W Sahara Ave, Ste 210""",Las Vegas,NV,18:0-20:30,None,None,None,None,None,None
MmR06_kNAbmOPK-0pKvGtA,"""Cinnabon""","""4300 Meadows Ln""",Las Vegas,NV,None,None,None,None,None,None,None
ORUUPE_Ahrcop9K7h6rvVQ,"""Falls Auto Body""","""20 W Steels Corners Rd""",Cuyahoga Falls,OH,None,None,None,None,None,None,None
r6Jw8oRCeumxu7Y1WRxT7A,"""D&D Cleaning""","""""",Urbana,IL,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-18:0,None
EJFdWX908N8Yc2XG0Lky8A,"""River Moon Cafe""","""104 43rd St""",Pittsburgh,PA,None,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,None
LL01hTt_eVdp-ws4zMDsrw,"""Pil Son""","""Toronto-Dominion Centre Bank Tower, 66 Wellington St W, Ste 2709""",Toronto,ON,7:45-18:0,7:45-15:0,8:30-18:0,8:30-17:0,None,None,None
d6ngz4WmMaQL8Xdfur7bwQ,"""Crazy Kleen Carpet Cleaning""","""15825 W Redfield Rd""",Surprise,AZ,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,None,None
6aFAEeJ3nS-iWGt7Tn7S0Q,"""KS Audio Video""","""19925 Jetton Rd, Ste 100""",Cornelius,NC,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,None,None
F31RycVVooeIOp9jsXmg6g,"""The Bluebird Cafe""","""5 Canonmills""",Edinburgh,MLN,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,8:0-17:0,8:0-17:0
0lCpaZpmjCFEmtti9O9ZdQ,"""LaPuma Bakery""","""12656 Chillicothe Rd""",Chesterland,OH,None,None,None,None,None,None,None
2pD9wZWXDNsZf_MXd8rQtg,"""Carle Clinic Association""","""602 W University Ave""",Urbana,IL,None,None,None,None,None,None,None
c6Shr51XcbvAeXp6hb_Exg,"""Christopher Huston, MD - TOCA""","""2222 E Highland Ave, Ste 300""",Phoenix,AZ,None,None,None,None,None,None,None
iPa__LOhse-hobC2Xmp-Kw,"""McDonald's""","""1635 E Camelback Rd""",Phoenix,AZ,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0,5:0-23:0
XPZT3zLrkLkFSkBVxSsM3w,"""Sports Authority""","""7000 E  Mayo Blvd Building 15""",Phoenix,AZ,9:0-21:30,9:0-21:30,9:0-21:30,9:0-21:30,9:0-21:30,9:0-21:30,10:0-20:0
zWb-kwaANIPMS_AFBbVOew,"""Banana Republic""","""32 W Towne Mall""",Madison,WI,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-18:0
o1fTwfqN0sDFNpV1CkOPPg,"""Crazy Mocha Coffee""","""4032 Butler St""",Pittsburgh,PA,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,8:0-21:0,9:0-21:0
#NAME?,"""Bruegger's Bagels""","""5217 Clairton Blvd""",Pittsburgh,PA,5:30-17:0,5:30-17:0,5:30-17:0,5:30-17:0,5:30-17:0,6:0-16:0,6:0-16:0
NFTh6mj3X2AnHJCKIFUk5Q,"""Fairfield Inn & Suites""","""8540 E Independence Blvd""",Charlotte,NC,None,None,None,None,None,None,None
EfYExaDrwhj0k611u5lYMg,"""G G & D Motor Vehicle Services""","""4307 W Glendale Ave""",Glendale,AZ,None,None,None,None,None,None,None
AZUCA3oiGou2wLnAYG1P6g,"""Emergency Chiropractic""","""2030 S Rural Rd""",Tempe,AZ,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0
kKx8iCJkomVQBdWHnmmOiA,"""Little Caesars Pizza""","""10720 E Southern Ave""",Mesa,AZ,None,None,None,None,None,None,None
B5EZlEDH6AVDk8tQGHAGqg,"""Villa Tap""","""2302 Packers Ave""",Madison,WI,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:30,10:0-2:30,10:0-17:0
bOOgAB_CEWWsxalAthnRSw,"""Tenors of Rock""","""3475 S Las Vegas Blvd""",Las Vegas,NV,8:0-22:0,None,20:0-22:0,20:0-22:0,20:0-22:0,20:0-22:0,20:0-22:0
l5ijDMpYdyKbF0CxiCVO_Q,"""Starlight Tattoo""","""3400 Las Vegas Blvd""",Las Vegas,NV,9:0-22:0,9:0-22:0,9:0-22:0,9:0-0:0,9:0-0:0,9:0-0:0,9:0-22:0
nJ3mXjItS8WcwhYbzbfDQw,"""Scott's Karat Patch""","""5110 Park Rd, Ste 2F""",Charlotte,NC,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-18:0,10:0-15:0,None
NoxzrJbWS4xD9ft0ygD3JA,"""The Brink Lounge""","""701 E Washington Ave, Ste 105""",Madison,WI,None,16:0-14:30,16:0-14:30,16:0-14:30,16:0-14:30,16:0-14:30,None
VXH7zXcZzXlmAVN8GSjGRQ,"""Thai Express""","""4700 Keele Street""",Toronto,ON,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,11:0-22:0,11:0-22:0
8XQmnE-v6RrsHiqEz6QXdg,"""Havel's Flowers & Greenhouses""","""9294 Mentor Ave""",Mentor,OH,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,10:30-14:0
YhV93k9uiMdr3FlV4FHjwA,"""Caviness Studio""","""""",Phoenix,AZ,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,9:0-15:0,None
w5WBrukfSuEyTjYUYlV4Ug,"""International Exposition Center""","""1 I-X Center Dr""",Cleveland,OH,None,None,None,None,None,None,None
aFBCmJUYrPeol_P75QX7Jw,"""Fraticelli's Authentic Italian Grill""","""10 Vogell Road""",Richmond Hill,ON,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-0:0,16:0-0:0,16:0-23:0
F0fEKpTk7gAmuSFI0KW1eQ,"""Cafe Mastrioni""","""4250 S Rainbow Blvd, Ste 1007""",Las Vegas,NV,None,None,None,None,None,None,None
dA7KJReGl9PMi3Tg_mBHuw,"""Poty Group""","""""",Mesa,AZ,None,None,None,None,None,None,None
GX83LORhO99mdNFz9_cZdQ,"""Dayton Family Medicine""","""6840 E Brown Rd""",Mesa,AZ,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,None,None
YvxQOMstU2MVDr2uNHs_vw,"""Mitchell's Ice Cream - Solon Shop""","""6130 Kruse Dr""",Solon,OH,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
NVaM_cKKJT3WWyP21PANzw,"""City of Mesa Cemetary""","""1212 N Center St""",Mesa,AZ,None,None,None,None,None,None,None
dTWfATVrBfKj7Vdn0qWVWg,"""Flavor Cuisine""","""8 Glen Watford Drive""",Toronto,ON,11:0-21:0,None,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
HAX1zec191t7QkT2sBZ76A,"""La Isla Cuban Restaurant""","""1816 Galerea Blvd, Ste D""",Charlotte,NC,None,None,None,None,None,None,None
HcEJ2YiSLX_mT3RE0hvKWQ,"""Blush""","""135 9th St""",Pittsburgh,PA,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,15:0-2:0
